软件名称,RPM名称,软件包名称,功能说明,详细情况,依赖关系
acl,acl-2.3.1-r0.aarch64.rpm,acl,提供操纵访问控制列表的命令,提供操作程序控制列表的getfacl和setfacl程序。,libacl1 >= 2.3.1 libc6 >= 2.34+10.3.1 
acl,libacl1-2.3.1-r0.aarch64.rpm,libacl1,提供用于访问POSIX访问控制列表的动态库,提供libacl.so动态库，其中包含POSIX 1003.1e标准草案中用于操作访问控制列表的17个函数。,libattr1 >= 2.5.1 libc6 >= 2.34+10.3.1 
attr,attr-2.5.1-r0.aarch64.rpm,attr,用于管理文件系统扩展属性,一种在文件系统对象上操作扩展属性的工具集，特别是getfattr和setfattr工具。还提供了一个attr命令，它在很大程度上兼容使用同名的SGI IRIX工具。,libattr1 >= 2.5.1 libc6 >= 2.34+10.3.1 update-alternatives-opkg
attr,libattr1-2.5.1-r0.aarch64.rpm,libattr1,提供文件扩展属性支持的动态库,提供libattr.so动态库，其中包含扩展属性库函数。,libc6 >= 2.34+10.3.1 
audit,audispd-plugins-3.0.1-r0.aarch64.rpm,audispd-plugins,提供审计事件调度器的插件,为audit系统、audispd的实时接口的提供插件；此插件能够传达事件到远端及其或者为分析可疑行为的事件。,
audit,audit-3.0.1-r0.aarch64.rpm,audit,为审计提供用户空间工具,通过审计系统提供用户空间程序来存储和搜索审计记录生成。,libc6 >= 2.34+10.3.1 libcap-ng >= 0.8.2 
audit,auditd-3.0.1-r0.aarch64.rpm,auditd,提供audit的守护进程,,audit >= 3.0.1 libc6 >= 2.34+10.3.1 libcap-ng >= 0.8.2 
base-files,base-files-3.0.14-r89.qemu_aarch64.rpm,base-files,基础系统的杂项文件,创建基本的系统目录结构，并为系统提供一小组关键配置文件。,
base-passwd,base-passwd-3.5.29-r0.aarch64.rpm,base-passwd,基本系统主密码/组文件,用户数据库文件的主副本（/etc/passwd和/etc/group）。还提供了更新密码工具，以使系统数据库与这些主文件保持同步。,
bash,bash-5.1.8-r0.aarch64.rpm,bash,命令处理器,与sh兼容的命令解释器，从标准输入或文件中读取来执行命令，并结合了ksh和csh的有用功能。,base-files libc6 >= 2.34+10.3.1 libtinfo5 >= 6.3 update-alternatives-opkg
bind-dhclient,bind-dhclient-9.11.14-r0.aarch64.rpm,bind-dhclient,BIND DNS服务器,,base-files base-passwd bind-dhclient-libs >= 9.11.14 libc6 >= 2.34+10.3.1 libcap >= 2.61 libcrypto1.1 >= 1.1.1m shadow
